database name	gold	pred	equivalent reason	note
network_1	SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	SELECT min( Highschooler.grade ) FROM Highschooler WHERE Highschooler.ID not in ( SELECT Friend.student_id FROM Friend )	Semantically rewrite of not in. Create a intermediate column of boolean. 	
concert_singer	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014	select T3.Name from concert as T1 join singer_in_concert as T2 on T1.concert_ID = T2.concert_ID join singer as T3 on T2.Singer_ID = T3.Singer_ID where T1.Year = 1	Semantically equivalent join, different joining order and aliases	
car_1	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;	select T1.Model from model_list as T1 join car_names as T2 on T1.Model = T2.Model join cars_data as T3 on T2.MakeId = T3.Id order by T3.Horsepower asc limit 1	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
concert_singer	SELECT count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id ORDER BY T2.Capacity DESC LIMIT 1	SELECT count(*) FROM concert	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Brazil' INTERSECT SELECT document_id FROM Paragraphs WHERE paragraph_text  =  'Ireland'	SELECT Document_ID FROM Paragraphs WHERE Paragraph_Text = 1 INTERSECT SELECT Document_ID FROM Paragraphs WHERE Paragraph_Text like 1	If we plug in the value of 'Brazil' and 'Ireland', the two queries are semantically equivalent: like "Ireland" is semantically equiavalent to = Ireland	if we keep the distinct key word our test suite is able to distinguish these two queries.
car_1	SELECT count(*) FROM CONTINENTS;	SELECT Count(DISTINCT continents.Continent) FROM continents	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT avg( Age ) FROM Student WHERE StuID NOT in ( SELECT StuID FROM Has_Pet )	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
student_transcripts_tracking	SELECT count(DISTINCT department_id) FROM Degree_Programs	select count ( distinct degree_programs.degree_summary_name ) from degree_programs	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
cre_Doc_Template_Mgt	SELECT count(*) FROM Templates WHERE template_type_code  =  "CV"	SELECT count( * ) FROM Ref_Template_Types JOIN Templates  on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code  WHERE Ref_Template_Types.Template_Type_Code = 1	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
cre_Doc_Template_Mgt	SELECT template_id ,  count(*) FROM Documents GROUP BY template_id	select T2.Template_ID , count ( * ) from Templates as T1 join Documents as T2 on T1.Template_ID = T2.Template_ID group by T2.Template_ID	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result.	
singer	SELECT Citizenship FROM singer WHERE Birth_Year  <  1945 INTERSECT SELECT Citizenship FROM singer WHERE Birth_Year  >  1955	select singer.citizenship from singer where singer.birth_year > 1945 intersect select singer.citizenship from singer where singer.birth_year < 1955	After plugging the values into the right place (which means replacing the 1945 with 1955 and vice versa in the predicted query), since intersection is commutative, the resulting query is semantically equivalent	if we do not plug in the value our method is able to distinguish these two queries.
pets_1	SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'	select Pets.PetID from Has_Pet join Student on Has_Pet.StuID = Student.StuID join Pets on Has_Pet.PetID = Pets.PetID where  Student.LName = " value "	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result.	
network_1	SELECT min(grade) FROM Highschooler WHERE id NOT IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id)	select min ( grade ) from highschooler where id not in ( select student_id from friend )	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result.	
concert_singer	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id	select concert.concert_Name , concert.Theme , count(*) from singer_in_concert join singer on singer_in_concert.Singer_ID = singer.Singer_ID join concert on singer_in_concert.concert_ID = concert.concert_ID  group by concert.concert_ID	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result.	
car_1	SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.mpg DESC LIMIT 1;	SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.Model = T2.Model JOIN cars_data AS T3 ON T2.MakeId = T3.Id ORDER BY T3.MPG DESC LIMIT 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result.	
dog_kennels	SELECT name ,  age ,  weight FROM Dogs WHERE abandoned_yn  =  1	SELECT Dogs.name, Dogs.age, Dogs.weight FROM Dogs WHERE Dogs.abandoned_yn = 'terminal' AND Dogs.abandoned_yn = 'terminal'	If we plug in the correct value 1 at both places, "= 1 and = 1" is semantically equivalent to "=1" 	if we do not plug in the value our method is likely to distinguish these two queries (we say likely because the prediction does not predict a real value, but only a place holder).
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT StuID FROM Has_Pet)	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
dog_kennels	SELECT role_code ,  street ,  city ,  state FROM professionals WHERE city LIKE '%West%'	SELECT Professionals.role_code, Professionals.street, Professionals.state, Professionals.city FROM Professionals WHERE Professionals.city in (SELECT city FROM Professionals WHERE city like 1)	Semantically equivalent rewrite of where condition, by checking membership in a set with the filtering where condition	
car_1	SELECT count(*) FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id JOIN COUNTRIES AS T3 ON T2.Country  =  T3.CountryId WHERE T3.CountryName  =  'usa';	SELECT count( * ) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId = T2.Country JOIN model_list AS T3 ON T2.Id = T3.Maker WHERE T1.CountryName = 'usa'	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
cre_Doc_Template_Mgt	SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  "Robbin CV"	select Documents.Document_ID , Templates.Template_ID , Documents.Document_Description from Documents join Templates on Documents.Template_ID = Templates.Template_ID where  Documents.Document_Name = 'Robbin CV'	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
wta_1	SELECT winner_name FROM matches WHERE tourney_name  =  'Australian Open' ORDER BY winner_rank_points DESC LIMIT 1	SELECT T2.winner_name FROM players AS T1 JOIN matches AS T2 ON T1.player_id = T2.winner_id WHERE T2.tourney_name = 'australian open' ORDER BY T2.winner_rank_points DESC LIMIT 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
voter_1	SELECT count(*) FROM area_code_state	SELECT Count(DISTINCT AREA_CODE_STATE.state) FROM AREA_CODE_STATE	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
network_1	SELECT id FROM Highschooler EXCEPT SELECT student_id FROM Friend	select highschooler.id from highschooler except select highschooler.id from highschooler join friend on highschooler.id = friend.student_id	Semantically correct redundant join in the except clause of the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
student_transcripts_tracking	SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1	SELECT Max(Transcripts.transcript_date) FROM Transcripts	Max value is equivalent to sorting with descending order limit 1	
car_1	SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;	select model_list.model from model_list join car_names on model_list.model = car_names.model group by model_list.model order by count ( * ) desc limit 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	SELECT avg(Student.Age) FROM Student WHERE Student.StuID NOT IN (SELECT StuID FROM Has_Pet)	Semantically correct redundant join in the gold query.  Joining with a parent & primary key will not change the result.	
student_transcripts_tracking	SELECT transcript_date FROM Transcripts ORDER BY transcript_date DESC LIMIT 1	SELECT Max(Transcripts.transcript_date) FROM Transcripts	Max value is equivalent to sorting with descending order limit 1	
concert_singer	SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30	SELECT Country FROM singer WHERE Age < 1 INTERSECT SELECT Country FROM singer WHERE Age > 1	After plugging the values into the right place (which means replacing the 40 with 30 and vice versa in the predicted query), since intersection is commutative, the resulting query is semantically equivalent	
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs GROUP BY document_id HAVING count(*)  >=  2	select T1.Document_ID from Paragraphs as T1 join Documents as T2 on T1.Document_ID = T2.Document_ID group by T1.Document_ID having count ( * ) > = 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results. After plugging the values into the right place, two queries are semantically equivalent.	if we do not plug in the value our method is likely to distinguish these two queries (we say likely because the prediction does not predict a real value, but only a place holder).
cre_Doc_Template_Mgt	SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1	select T3.Template_ID , T2.Template_Type_Code from Templates as T1 join Ref_Template_Types as T2 on T1.Template_Type_Code = T2.Template_Type_Code join Documents as T3 on T1.Template_ID = T3.Template_ID group by T1.Template_ID order by count ( * ) desc limit 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
pets_1	SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'	SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.PetID in ( SELECT PetID FROM Pets WHERE PetType = 'cat' ) INTERSECT SELECT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID WHERE T3.PetType = 'dog'	Semantically rewrite of the filtering where clause by filtering by a set membership intermediate column.	
cre_Doc_Template_Mgt	SELECT document_id FROM Paragraphs GROUP BY document_id ORDER BY count(*) ASC LIMIT 1	select Documents.Document_ID from Paragraphs join Documents on Paragraphs.Document_ID = Documents.Document_ID  group by Documents.Document_ID  order by count(*) asc limit 1	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
cre_Doc_Template_Mgt	SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  "BK"	select Documents.Document_Name from Documents join Templates on Documents.Template_ID = Templates.Template_ID join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code where  Ref_Template_Types.Template_Type_Code = 'BK'	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
pets_1	SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid	SELECT count( * ) , Has_Pet.StuID FROM Has_Pet JOIN Pets  on Has_Pet.PetID = Pets.PetID  GROUP BY Has_Pet.StuID	Semantically correct redundant join in the gold (student.stuid is parent) and in the prediction (Pets.PetID is parent). Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
museum_visit	SELECT museum_id ,  name FROM museum ORDER BY num_of_staff DESC LIMIT 1	SELECT Museum_ID,Name FROM museum GROUP BY Museum_ID ORDER BY Num_of_Staff DESC LIMIT 1	Semantically correct redundant group by; group by all primary keys will not change the results.	
voter_1	SELECT count(*) FROM area_code_state	select count ( distinct state ) from area_code_state	Our evaluation method removes all distinct key word to maintain fair comparison with original exact set match; after removal, and counting different columns of the same table leads to the same result	if we keep the distinct key word our test suite is able to distinguish these two queries.
wta_1	SELECT winner_name ,  winner_rank_points FROM matches GROUP BY winner_name ORDER BY count(*) DESC LIMIT 1	SELECT matches.winner_name, matches.winner_rank_points FROM matches JOIN players GROUP BY matches.winner_name ORDER BY count(*) DESC LIMIT 1	Redundant join without predicate will create a cartesian product of tables, and each row in matches will be repeated by (size of players  table) times. Finding the max count after multiplying everything with the same scalar leads to the same result.	
car_1	SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;	select distinct model_list.model from cars_data join car_names on cars_data.Id = car_names.MakeId join model_list on car_names.Model = model_list.Model where  cars_data.year > "value"	Semantically equivalent join, different joining order.	
dog_kennels	SELECT T1.professional_id ,  T1.cell_number FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id GROUP BY T1.professional_id HAVING count(*)  >=  2	select Professionals.professional_id , Professionals.cell_number from Treatments join Professionals on Treatments.professional_id = Professionals.professional_id join Treatment_Types on Treatments.treatment_type_code = Treatment_Types.treatment_type_code  group by Professionals.professional_id having  count(*) >= 2	Semantically correct redundant join in the prediction.  Joining with a parent & primary key will not change the result. Then counting the same column leads to the same results.	
cre_Doc_Template_Mgt	SELECT DISTINCT T1.template_type_description FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code JOIN Documents AS T3 ON T2.Template_ID  =  T3.template_ID	select distinct ref_template_types.template_type_description from Documents join Templates on Documents.Template_ID = Templates.Template_ID join Ref_Template_Types on Templates.Template_Type_Code = Ref_Template_Types.Template_Type_Code	Semantically equivalent join, different joining order.	
pets_1	SELECT avg(age) FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid)	select avg(Student.Age) from Student  where  Student.StuID not  in  ( select Has_Pet.StuID from Has_Pet  )	Semantically rewrite of not in. Create a intermediate column of boolean. Semantically correct redundant join in the gold.  Joining with a parent & primary key will not change the result.	
